source	external_code	area_type	area_name	latitude	longitude	district_code	district_name	administrative_dong_code	administrative_dong_name
SEOUL_COMMERCIAL_ANALYSIS	3120218	DEVELOPMENT	코엑스	37.5121657	127.0591102	11680	강남구	11680580	삼성1동
SEOUL_COMMERCIAL_ANALYSIS	3120222	DEVELOPMENT	삼성역	37.5086677	127.0631565	11680	강남구	11680610	대치2동
SEOUL_COMMERCIAL_ANALYSIS	3120224	DEVELOPMENT	수서역	37.4877814	127.1030305	11680	강남구	11680750	수서동
SEOUL_COMMERCIAL_ANALYSIS	3120227	DEVELOPMENT	잠실역	37.5139841	127.1012680	11710	송파구	11710710	잠실6동
SEOUL_COMMERCIAL_ANALYSIS	3120228	DEVELOPMENT	석촌역(석촌호수)	37.5060236	127.1065390	11710	송파구	11710580	송파1동
SEOUL_COMMERCIAL_ANALYSIS	3120229	DEVELOPMENT	방이동먹자골목	37.5143825	127.1092316	11710	송파구	11710562	방이2동
SEOUL_COMMERCIAL_ANALYSIS	3120231	DEVELOPMENT	가락시장	37.4935489	127.1117342	11710	송파구	11710631	가락1동
SEOUL_COMMERCIAL_ANALYSIS	3120234	DEVELOPMENT	가락시장역	37.4946954	127.1187244	11710	송파구	11710620	가락본동
SEOUL_COMMERCIAL_ANALYSIS	3120239	DEVELOPMENT	오금역	37.5017786	127.1261431	11710	송파구	11710620	가락본동
SEOUL_COMMERCIAL_ANALYSIS	3120243	DEVELOPMENT	천호역	37.5395234	127.1244416	11740	강동구	11740610	천호2동
