recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,areaType,latitude,longitude
KEEP,카카오 SW8 검증 역세권,,3120002,서촌(경복궁역),DEVELOPMENT,37.5792835,126.9718222
KEEP,카카오 SW8 검증 역세권,,3120226,석촌고분역,DEVELOPMENT,37.5033198,127.0970465
KEEP,카카오 SW8 검증 역세권,,3120228,석촌역(석촌호수),DEVELOPMENT,37.5060236,127.1065390
KEEP,카카오 SW8 검증 역세권,,3120210,선릉역,DEVELOPMENT,37.5046107,127.0493553
KEEP,카카오 SW8 검증 역세권,,3120207,선정릉역,DEVELOPMENT,37.5114689,127.0454916
KEEP,카카오 SW8 검증 역세권,,3120052,성수역,DEVELOPMENT,37.5446750,127.0566691
KEEP,카카오 SW8 검증 역세권,,3120116,송정역,DEVELOPMENT,37.5613838,126.8096161
KEEP,카카오 SW8 검증 역세권,,3120232,송파나루역,DEVELOPMENT,37.5101271,127.1120417
KEEP,카카오 SW8 검증 역세권,,3120230,송파사거리(송파역),DEVELOPMENT,37.5011187,127.1103092
KEEP,카카오 SW8 검증 역세권,,3120224,수서역,DEVELOPMENT,37.4877814,127.1030305
KEEP,카카오 SW8 검증 역세권,,3120076,수유역,DEVELOPMENT,37.6377585,127.0249936
KEEP,카카오 SW8 검증 역세권,,3120042,"숙대입구역(남영역, 남영동)",DEVELOPMENT,37.5422525,126.9717682
KEEP,카카오 SW8 검증 역세권,,3120020,시청역_1번,DEVELOPMENT,37.5641384,126.9745557
KEEP,카카오 SW8 검증 역세권,,3120021,시청역_8번,DEVELOPMENT,37.5617597,126.9742396
KEEP,카카오 SW8 검증 역세권,,3120187,신논현역,DEVELOPMENT,37.5050238,127.0252772
KEEP,카카오 SW8 검증 역세권,,3120177,신논현역 1번,DEVELOPMENT,37.5054303,127.0198826
KEEP,카카오 SW8 검증 역세권,,3120039,신당역,DEVELOPMENT,37.5654285,127.0157219
KEEP,카카오 SW8 검증 역세권,,3120152,신대방삼거리역,DEVELOPMENT,37.4994359,126.9273065
KEEP,카카오 SW8 검증 역세권,,3120128,신도림역,DEVELOPMENT,37.5081922,126.8903816
KEEP,카카오 SW8 검증 역세권,,3120157,신림역(신림),DEVELOPMENT,37.4847242,126.9302379
KEEP,카카오 SW8 검증 역세권,,3120178,신사역,DEVELOPMENT,37.5159631,127.0195574
KEEP,카카오 SW8 검증 역세권,,3120062,신설동역,DEVELOPMENT,37.5749506,127.0244971
KEEP,카카오 SW8 검증 역세권,,3120041,신용산역(용산역),DEVELOPMENT,37.5289965,126.9633335
KEEP,카카오 SW8 검증 역세권,,3120108,신정네거리역,DEVELOPMENT,37.5218464,126.8526352
KEEP,카카오 SW8 검증 역세권,,3120094,"신촌역(신촌역, 신촌로터리)",DEVELOPMENT,37.5565286,126.9364183
KEEP,카카오 SW8 검증 역세권,,3120057,아차산역,DEVELOPMENT,37.5542522,127.0869723
KEEP,카카오 SW8 검증 역세권,,3120074,안암역,DEVELOPMENT,37.5858424,127.0295389
KEEP,카카오 SW8 검증 역세권,,3120244,암사역,DEVELOPMENT,37.5513769,127.1278563
KEEP,카카오 SW8 검증 역세권,,3120202,압구정로데오역(압구정로데오),DEVELOPMENT,37.5267699,127.0401385
KEEP,카카오 SW8 검증 역세권,,3120188,압구정역,DEVELOPMENT,37.5254669,127.0280784
KEEP,카카오 SW8 검증 역세권,,3120038,약수역,DEVELOPMENT,37.5542838,127.0100270
KEEP,카카오 SW8 검증 역세권,,3120182,"양재시민의숲역(양재동꽃시장, aT센터)",DEVELOPMENT,37.4693847,127.0403678
KEEP,카카오 SW8 검증 역세권,,3120179,양재역,DEVELOPMENT,37.4844967,127.0340329
KEEP,카카오 SW8 검증 역세권,,3120135,양평역,DEVELOPMENT,37.5254090,126.8888970
KEEP,카카오 SW8 검증 역세권,,3120054,어린이대공원역,DEVELOPMENT,37.5478200,127.0721972
KEEP,카카오 SW8 검증 역세권,,3120194,언주역(차병원),DEVELOPMENT,37.5074003,127.0340320
KEEP,카카오 SW8 검증 역세권,,3120149,여의도역(여의도),DEVELOPMENT,37.5226812,126.9262546
KEEP,카카오 SW8 검증 역세권,,3120197,역삼역,DEVELOPMENT,37.5003989,127.0359514
KEEP,카카오 SW8 검증 역세권,,3120090,연신내역,DEVELOPMENT,37.6190669,126.9220704
KEEP,카카오 SW8 검증 역세권,,3120136,영등포구청역,DEVELOPMENT,37.5253946,126.8928113
KEEP,카카오 SW8 검증 역세권,,3120145,영등포역(영등포),DEVELOPMENT,37.5184318,126.9056827
KEEP,카카오 SW8 검증 역세권,,3120239,오금역,DEVELOPMENT,37.5017786,127.1261431
KEEP,카카오 SW8 검증 역세권,,3120123,오류동역,DEVELOPMENT,37.4952387,126.8447831
KEEP,카카오 SW8 검증 역세권,,3120113,오목교역,DEVELOPMENT,37.5240065,126.8739665
KEEP,카카오 SW8 검증 역세권,,3120049,왕십리역(왕십리),DEVELOPMENT,37.5609097,127.0372028
KEEP,카카오 SW8 검증 역세권,,3120040,용산전자상가(용산역),DEVELOPMENT,37.5332757,126.9615551
KEEP,카카오 SW8 검증 역세권,,3120075,월곡역,DEVELOPMENT,37.6031647,127.0420707
KEEP,카카오 SW8 검증 역세권,,3120099,월드컵경기장역(월드컵경기장),DEVELOPMENT,37.5691694,126.8976386
KEEP,카카오 SW8 검증 역세권,,3120031,을지로3가역,DEVELOPMENT,37.5662312,126.9916126
KEEP,카카오 SW8 검증 역세권,,3120033,을지로4가역,DEVELOPMENT,37.5668711,126.9967062
KEEP,카카오 SW8 검증 역세권,,3120026,을지로입구역,DEVELOPMENT,37.5674106,126.9833948
KEEP,카카오 SW8 검증 역세권,,3120087,응암역,DEVELOPMENT,37.5986913,126.9158862
KEEP,서울 관광특구,,3001491,이태원 관광특구,TOURIST_SPECIAL,37.5343000,126.9943203
KEEP,카카오 SW8 검증 역세권,,3120046,이태원(이태원역),DEVELOPMENT,37.5349307,126.9947841
