recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,storeCount,latitude,longitude
KEEP,상업시설·시장 계열,,GGD-2AUV5LEGUJICKEMEJAAJWRAYP6,뉴코아아울렛광명점,331,37.4610267,126.8797024
KEEP,상업시설·시장 계열,,GGD-R2MXC3HST6I34UHH5X5QR6QQQ2,역곡북부시장,331,37.4872515,126.8128450
KEEP,카카오 SW8 검증 역세권,,GGD-GN6QT2MGIPASQK5ZXHSEV3F55D,상현역,328,37.2967576,127.0697836
KEEP,상업시설·시장 계열,,GGD-CJNGMWGC6VM545FNXEPZ66IBFM,CGV북수원,317,37.3028629,127.0085518
KEEP,상업시설·시장 계열,,GGD-IG44FHPGKGKCMAGCFFGDC7VGTD,사강장사강시장,315,37.2135261,126.7364074
KEEP,상업시설·시장 계열,,GGD-XRKFPNCL6LGPQWS4CGW7IRDM3J,동두천중앙시장,310,37.9067203,127.0528115
KEEP,카카오 SW8 검증 역세권,,GGD-FQGT532RDZBYZ3VBO7KIMUNMFO,용문역,310,37.4833635,127.5922599
KEEP,카카오 SW8 검증 역세권,,GGD-7B7EKNKJ4YD76MJH3KRE63VEGW,주엽역_3번출구,299,37.6701882,126.7599170
KEEP,카카오 SW8 검증 역세권,,GGD-MED63ORXFUMTPYGWYTLHUU3HTW,안산역,297,37.3257312,126.7914125
KEEP,카카오 SW8 검증 역세권,,GGD-DCLBEDRYHXMRD7KQWYK62VGHC6,구리역_2번출구,285,37.6028927,127.1433166
KEEP,상업시설·시장 계열,,GGD-GFKBFXWXMLVZVR4XRE2QIKAMQL,롯데시네마안산고잔,285,37.3091315,126.8283873
KEEP,상업시설·시장 계열,,GGD-LARIFEGWPMVES53NBAE7AXW3L4,이천일아울렛안양점,282,37.3947668,126.9230407
KEEP,상업시설·시장 계열,,GGD-2JK4ZU4LIYR6O7MLX4KAVKXGU4,롯데마트덕소점,274,37.5885781,127.2177008
KEEP,카카오 SW8 검증 역세권,,GGD-HAIG6AJHAFVDYHAAGMA5WDPROG,광명사거리역_2번출구,273,37.4776498,126.8577569
KEEP,카카오 SW8 검증 역세권,,GGD-HFDYCTBMMPHBXXOBEKGYGP75NJ,부천역,272,37.4838655,126.7799658
KEEP,카카오 SW8 검증 역세권,,GGD-OHBWCOMRSUDCFYNNU5HJ3BKFY6,군포역_1번출구,270,37.3521632,126.9474609
KEEP,카카오 SW8 검증 역세권,,GGD-AC5RN5BCEBI36PPTYTTBOCI37P,미금역_7번출구,269,37.3508200,127.1076343
KEEP,카카오 SW8 검증 역세권,,GGD-VTON6WJ5YULK4QO63EZKBVKBKN,미금역_5번출구,266,37.3492814,127.1075569
KEEP,관광·문화 계열,,GGD-OPFMHEHTBUXXYNQFJOFU6YISKN,뉴프린스관광호텔,259,37.4845685,126.7860102
KEEP,상업시설·시장 계열,,GGD-W2GOROEG7OKTXFRGIGRUV7X755,메가박스양주,252,37.7950589,127.0788425
KEEP,카카오 SW8 검증 역세권,,GGD-AC4JXG4SKCTO43VCRR4K73X67U,모란역정류소,247,37.4317628,127.1283300
KEEP,카카오 SW8 검증 역세권,,GGD-6PIEZVZROW64AGREGWWYPUEFC6,부천시청역_4번출구,243,37.5048072,126.7663336
KEEP,상업시설·시장 계열,,GGD-BOZKPUTSEI4LLWLYLL755L2BKG,뉴코아아울렛평택점,239,36.9951894,127.1121569
KEEP,카카오 SW8 검증 역세권,,GGD-ZZJ3KHBFLNHCUOLUOB4LP6E7WA,명학역_2번출구,239,37.3881176,126.9369246
KEEP,상업시설·시장 계열,,GGD-LRCUAVLKTJ4Q3ERGPINJE6H4VC,이마트고잔점,233,37.3024281,126.8118966
KEEP,상업시설·시장 계열,,GGD-CZPFYIGB5NH7JKDHXPXE2TT55B,롯데마트권선점,229,37.2506221,127.0352773
KEEP,카카오 SW8 검증 역세권,,GGD-EZJXXEGDWQ5KUPQ6DJLJF5GJGG,신중동역_4번출구,225,37.5040989,126.7716572
KEEP,관광·문화 계열,,GGD-RGXOXWPDC7R3FRZU6M5ZJ3XNQR,양주문화원,225,37.8240880,126.9848274
KEEP,상업시설·시장 계열,,GGD-NL2UJNSDKWJMIDYEVO63HARQPX,안양남부시장,223,37.3964195,126.9259689
KEEP,상업시설·시장 계열,,GGD-H5QI2NJX7W5BXN4VKAQR6UNGCC,박달시장,221,37.4052118,126.9096417
KEEP,카카오 SW8 검증 역세권,,GGD-IU6YOUXCXKADNOWZSIEC2H45ON,부천시청역_1번출구,221,37.5032647,126.7638999
KEEP,상업시설·시장 계열,,GGD-EJWO3QSSUP7OCTIUBKLPNJFBBU,CGV김포운양,216,37.6553225,126.6825899
KEEP,카카오 SW8 검증 역세권,,GGD-OG4FBKZ5Q5XEEMN3DEM4VAEHEX,정왕역,215,37.3521436,126.7440162
KEEP,상업시설·시장 계열,,GGD-JMIGDYBO67YNJVTLHF4NTBWJYT,산본시장,214,37.3704015,126.9382903
KEEP,상업시설·시장 계열,,GGD-WMDV7BWFX5ZXYIK7TJSTTCUA6T,경기강남시장,206,37.5071015,126.7812901
KEEP,카카오 SW8 검증 역세권,,GGD-ITTD42GT4QOSZW3VY35C47K7B3,망포역_6번출구,206,37.2464566,127.0590894
KEEP,카카오 SW8 검증 역세권,,GGD-LYTTDI2K3PX55CXNKGRJK5O2CP,철산역_4번출구,206,37.4767942,126.8664041
KEEP,상업시설·시장 계열,,GGD-2XMCXLHFPZXN3NESKN4JCGUYJU,CGV파주문산,205,37.8667852,126.7842271
KEEP,카카오 SW8 검증 역세권,,GGD-RHHLQKOCFF7VWQKZIJGOBARKK6,오리역,205,37.3393665,127.1097416
KEEP,카카오 SW8 검증 역세권,,GGD-GM5QGIZWZWFR5HYN4I3OPKB76S,인덕원역_2번출구,196,37.4001702,126.9777166
KEEP,카카오 SW8 검증 역세권,,GGD-CDVZEQCKDPB7GAAGECWVNJ54QO,대화역_4번출구,194,37.6766626,126.7475784
KEEP,카카오 SW8 검증 역세권,,GGD-C6YJRVQJGBGJ4M7622MR7YKMW3,수원시청역,193,37.2601624,127.0249986
KEEP,카카오 SW8 검증 역세권,,GGD-X6235JFNM3LDQUG3SLKY7SFLAM,회룡역_3번출구,191,37.7237899,127.0456491
KEEP,카카오 SW8 검증 역세권,,GGD-F4YE7KGDEPSDQCIO5G7HTAF5VF,신중동역,190,37.5047280,126.7766800
KEEP,카카오 SW8 검증 역세권,,GGD-F5WTMEHUERFBGEGFLMKCVHYYOA,망포역,189,37.2444502,127.0594946
KEEP,카카오 SW8 검증 역세권,,GGD-ZNMBQI2XPRC2JW2O6IHSW2ZNF5,영통역_8번출구,189,37.2534617,127.0724854
KEEP,상업시설·시장 계열,,GGD-QNIRILF2ZO3JJ57OJ2IJHDX646,메가박스파주금촌,185,37.7654255,126.7757344
KEEP,카카오 SW8 검증 역세권,,GGD-XHZ36UC7KA3KXC4ZMPSMORILNS,백석역_5번출구,185,37.6448830,126.7864420
KEEP,카카오 SW8 검증 역세권,,GGD-7UD7BVISTDVOFFQEN2FRDWKBMW,대화역,184,37.6757338,126.7471819
KEEP,상업시설·시장 계열,,GGD-G4OWLMHXGI27CE75V3M7OXJEMS,메가박스동탄,183,37.2034466,127.0720142
KEEP,카카오 SW8 검증 역세권,,GGD-HCQWQSOE56G5MDUCKCFQG3BNC7,의정부역_2번출구,180,37.7358093,127.0445761
KEEP,상업시설·시장 계열,,GGD-YN5VCLQGDQYQCBOJ5DVOTWXIMY,롯데시네마진접,177,37.7121304,127.1875402
KEEP,카카오 SW8 검증 역세권,,GGD-W6VMZCISQQ4TSRN2TVIIR277NE,안양역_1번출구,177,37.4024123,126.9221286
KEEP,상업시설·시장 계열,,GGD-Z6D6NILRWOF2EUUDZHSME6ZKDC,수원프리미엄아울렛,176,37.2663196,127.0747737
KEEP,상업시설·시장 계열,,GGD-KXNVK5GB5F2GETNHLNIDZKHP6Z,홈플러스부천소사점,176,37.4839364,126.8123825
KEEP,카카오 SW8 검증 역세권,,GGD-H4MBOENIJGQBY6NFXWRE6QJD7L,백석역_7번출구,173,37.6431761,126.7896944
KEEP,상업시설·시장 계열,,GGD-Q276WEGCV63WKWGJNR6KKJW7WX,홈플러스김포점,170,37.6224143,126.6992568
KEEP,상업시설·시장 계열,,GGD-XMWEKZNGDSKJVLL3HME4BMUBAE,수원못골시장,164,37.2767883,127.0201960
KEEP,카카오 SW8 검증 역세권,,GGD-APQCUOFCQPMX2SBG2Y5V4YUPTC,백석역,162,37.6440061,126.7858306
KEEP,카카오 SW8 검증 역세권,,GGD-GJLCAEXWUAHMXKTCD4DO6G662J,병점역,161,37.2072071,127.0338648
KEEP,상업시설·시장 계열,,GGD-XCQ2YI75DZTX3EMQOSJWD7QTVM,엔씨백화점NC이천점,161,37.2835062,127.4431899
KEEP,카카오 SW8 검증 역세권,,GGD-R3W64C52LMJQVEC5Z3LJTED4RY,산본역_4번출구,160,37.3576974,126.9333454
KEEP,카카오 SW8 검증 역세권,,GGD-5EDBHJILWUKRE4IAVDLHXCFI5M,정부과천청사역_11번출구,160,37.4290855,126.9912473
KEEP,카카오 SW8 검증 역세권,,GGD-BF52AZJOB3BXBN2EKVJIC5P4TF,역곡역_2번출구,152,37.4850808,126.8093536
KEEP,카카오 SW8 검증 역세권,,GGD-OE2JN3SFZBADM44RBIOMSKAWMO,판교역로,150,37.4014258,127.1113130
KEEP,상업시설·시장 계열,,GGD-P7RNP7JTSITWMQZSRBK2JYY24G,이마트흥덕점,149,37.2757213,127.0726345
KEEP,카카오 SW8 검증 역세권,,GGD-OEIPWM44XYO6VENQKZ7NHXW5RX,야당역,148,37.7125388,126.7645182
KEEP,카카오 SW8 검증 역세권,,GGD-ZJI3ZITB5N6IKXNI5TRIPGPIAU,백석역_1번출구,147,37.6412127,126.7892376
KEEP,카카오 SW8 검증 역세권,,GGD-WQNQDQCSBAYRWGLFCNCDWVDE7Z,명학역,144,37.3848805,126.9337590
KEEP,상업시설·시장 계열,,GGD-UZ2JM6UNWJXL5QNLQ4KR2SU5FT,롯데마트구리점,142,37.6132728,127.1408904
KEEP,카카오 SW8 검증 역세권,,GGD-VG7GQLENPQJIR7BRXVSI4WJ66H,오리역_6번출구,138,37.3412800,127.1081890
KEEP,카카오 SW8 검증 역세권,,GGD-A3BOY74XKOVI5FOKY4DZ3ENTQN,광명사거리역_4번출구,137,37.4796193,126.8521352
