recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,storeCount,latitude,longitude
EXCLUDE,도로·길 원본 구간명,,GGD-AHNMPLKUOL4O7KPQ74OMCJFQLF,관악대로_1,42,37.4030685,126.9598610
EXCLUDE,도로·길 원본 구간명,,GGD-BNN37U5UDRJ4OKCDCQCSJGGINO,장기로,42,37.0061574,127.2666064
EXCLUDE,도로·길 원본 구간명,,GGD-RABUJPCC5ZQGUNCF2LGJ676HO7,둔촌대로457번길,40,37.4339196,127.1698066
EXCLUDE,도로·길 원본 구간명,,GGD-NNIRHOBBQBT472SO4NZN57QR6O,마석로,40,37.6586739,127.3045794
EXCLUDE,도로·길 원본 구간명,,GGD-OLPYL6U36XQWZ5OGVFSMUKB45G,상이로39번길,40,37.4927559,126.7428100
EXCLUDE,도로·길 원본 구간명,,GGD-MOHJYSLQGIY6PLSDAZA3YT4LC7,신구로12번길,40,37.2739583,127.1106261
EXCLUDE,도로·길 원본 구간명,,GGD-TLD35BWSVC6IA6D3FBLTJPLROF,연성로,40,37.3915866,126.8144987
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-G2TFXWKLQYVSJBGLRKWAAZ4SBP,연천경찰서,40,38.1013127,127.0742587
EXCLUDE,도로·길 원본 구간명,,GGD-URTN42NKR57ZVTVHGGDNEPXYW4,영통로323번길,39,37.2553070,127.0618395
EXCLUDE,도로·길 원본 구간명,,GGD-BDF2RIWAJIBJF5OHX6IJKBJKVS,장다리로_3,39,37.2765731,127.0309517
EXCLUDE,도로·길 원본 구간명,,GGD-ZQORYDTPKS7BZPQ4RCT2KHWBZT,화정천서로3길,39,37.3428557,126.8173542
EXCLUDE,도로·길 원본 구간명,,GGD-FJUEHMSZQ64DQFL5ESHUCFZGCQ,비룡로55번길,38,37.6562052,127.3008472
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-CHYXXXD6JFJDIHN54ZDGXZOX27,안양호계3동우편취급국,38,37.3623111,126.9634682
EXCLUDE,도로·길 원본 구간명,,GGD-OJWQ7EN2MSTRQRKEIR44RMZXR2,지산로,38,37.0793171,127.0619300
EXCLUDE,도로·길 원본 구간명,,GGD-46WEE7R2HJ6AS7BE55O67UBRTJ,경춘로_2,37,37.6338317,127.2116684
EXCLUDE,도로·길 원본 구간명,,GGD-W5BLGRRJ33E34VD6NY6CEVOFO4,산단로,37,37.3183442,126.7896868
EXCLUDE,도로·길 원본 구간명,,GGD-WCE3JXL3VLZT7FMGK7ZO2LEVCF,시민대로_1,37,37.3879665,126.9487170
EXCLUDE,도로·길 원본 구간명,,GGD-6CGPDKYFN6SR4AQFSG6FQ2YPJ7,신갈로_3,37,37.2727334,127.1049907
EXCLUDE,도로·길 원본 구간명,,GGD-YRHXBVZOODBWOKETIMKJL5IQ6I,신현로_2,37,37.3603282,127.1489484
EXCLUDE,도로·길 원본 구간명,,GGD-7TEGFP5IIK7QOQVEHPVDY4N3VN,영창로_2,37,37.2813173,127.4374115
EXCLUDE,도로·길 원본 구간명,,GGD-TA4NJOTMMWJUCVNARAAVV32TA2,오이도중앙로_1,37,37.3462229,126.6915716
EXCLUDE,도로·길 원본 구간명,,GGD-RW5NNRG4CTFHD5YTFUHYHJHYAB,장백로,37,37.6397195,126.7893983
EXCLUDE,도로·길 원본 구간명,,GGD-4RZBK67JZWBS535UURMPU7TBFJ,주화로,37,37.6743877,126.7502803
EXCLUDE,도로·길 원본 구간명,,GGD-5EAPEJ734N4IK2F3X4LLBX6EFL,대왕판교로645번길,36,37.4011565,127.1042063
